Intake Date,Species,Species Class,Age,# of Animals,Date Found,Specific Location,City Found,Cause for Admission,Comments
12/24/17,Gull,Bird,Adult,1,12/24/17,"In middle of road, in front of Cowesett Inn",West Warwick,Broken leg?,
12/24/17,Eastern Gray Squirrel,Mammal,Adult,1,12/24/17,Finder's address,Johnston,Pox and mange,
12/31/17,Owl,Bird,Adult,1,12/31/17,"Divison Street near Lutheran Church, near Spencer Avenue",East Greenwich,Eye?  Wing?,
01/02/18,American Crow,Bird,Adult,1,01/02/18,By the bars Downtown,Westerly,"Hopping, won't fly",
01/07/18,Canada Goose,Bird,Adult,1,01/07/18,Hillside Avenue,East Providence,"Not known, limping, unable to fly but can walk",
01/15/18,American Crow,Bird,Adult,1,01/15/18,Cube Smart,Exeter,None,
01/20/18,Cardinal,Bird,Adult,1,01/20/18,Finder's address,East Greenwich,? Window strike,
01/22/18,Virginia Opossum,Mammal,Adult,1,01/22/18,In yard,Coventry,?.  Yard is fenced in.,
01/06/18,Hooded Merganser,Bird,Adult,1,01/06/18,Westerly Town Beach,Westerly,FX R wing,
01/10/18,Big Brown Bat,Mammal,Adult,1,01/03/18,Garage,South Kingstown,Woke from hibernation.  Found on ground.  Contractor picked up with gloves and placed in bucket.,
01/20/18,Raccoon,Mammal,Adult,1,01/20/18,4575 Post Road,Warwick,HBC,
12/13/17,Virginia Opossum,Mammal,Juvenile,1,12/13/17,Side of house,West Warwick,Cold and bleeding from mouth,
12/29/17,Canada Goose,Bird,Adult,1,12/28/17,Main Road Tiverton/Fall River Line,Tiverton,"Weak, couldn't fly",
12/30/17,Junco,Bird,Adult,1,12/30/17,Finder's address,Charlestown,Injury,
01/02/18,Canada Goose,Bird,Adult,1,01/01/18,Annawamscutt Road,Bristol,Feather damage/hypothermic,
01/03/18,Canada Goose,Bird,Adult,1,01/03/18,Providence Canal,Providence,Bleeding on R wing/Hypothermic,
01/05/18,Canada Goose,Bird,Adult,1,01/05/18,555 Greenwich Avenue,Warwick,Injury,
01/05/18,Mallard,Bird,Adult,1,01/05/18,Poppasquash Point,Bristol,R leg mangled,
01/05/18,Mourning Dove,Bird,Adult,1,01/05/18,Snowbank near finder's house,Tiverton,"Hypothermic, found in snow bank",
01/05/18,Big Brown Bat,Mammal,Adult,1,01/05/18,"Mill building, 120 Manton Avenue",Providence,"Found on ground of Mill building, dehydrated",
01/06/18,Canada Goose,Bird,Adult,1,01/06/18,Narragansett Town Beach,Narragansett,Frozen in sand,
01/06/18,Herring Gull,Bird,Adult,1,01/06/18,Near Walmart,Middletown,Wound at lover back near tail,
01/07/18,White-throated Sparrow,Bird,Adult,1,01/06/18,Finder's address,Westerly,"Broken leg, wing, back injury",
11/07/18,Mute Swan,Bird,Adult,1,01/05/18,,North Providence,Stranded,
01/07/18,House Sparrow,Bird,Adult,1,01/07/18,Spicer Street,North Providence,Cold/Flew into tree,
01/08/18,Mallard,Bird,Adult,1,01/08/18,Across from Roger Wheeler Beach,Narragansett,Broken L leg,
01/08/18,Eastern Gray Squirrel,Mammal,Adult,1,01/08/18,3 Baywood Street,Warwick,Top teeth/nose stuck in small hole in garbage can,
01/08/18,Mute Swan,Bird,Adult,1,01/08/18,225 Atwood Avenue,Cranston,Cold,
01/18/00,Canada Goose,Bird,Adult,1,01/04/18,Providence Water Works,Providence,"Abcess on head, minor cuts on feet, cold, thin, foot not healing",
01/08/18,White-footed Mouse,Mammal,Adult,1,01/08/18,Finder's address,North Kingstown,"Cat attack, small puncture on back",
01/08/18,Wood Thrush,Bird,Adult,1,01/08/18,"Kenyon Farms, Indian Rock Farm Road",Narragansett,Wing injury,
01/09/18,Dark-eyed Junco,Bird,Adult,1,01/09/18,Porch,,Head injury/broken R shoulder,
01/09/18,Mallard,Bird,Adult,1,01/09/18,1st Beach by Chanler Hotel,Newport,"Thin, HBC",
01/10/18,Woodchuck,Mammal,Adult,1,01/10/18,"45 Hampton Way, job site",,Unearthed at construction site,
01/10/18,Great Blue Heron,Bird,Adult,1,01/10/18,9 Pier Market Plaza,Narragansett,"Emaciated, cold, L shoulder dislocated",
01/11/18,Peregrine Falcon,Bird,Adult,1,01/11/18,Lane 1,Warwick,Wing FX,
01/11/18,Eastern Gray Squirrel,Mammal,Adult,1,01/11/18,Backyard,Barrington,Dog attack,
01/11/18,Grebe,Bird,Adult,1,01/11/18,Misquarmucut Beach,Westerly,Injury,
01/06/18,Eastern Screech Owl,Bird,Adult,1,01/06/18,Backyard,Bristol,"Won't fly, HBC?",
01/13/18,Deer Mouse,Mammal,Adult,1,01/12/18,Basement,Warwick,,
01/15/18,Eastern Gray Squirrel,Mammal,Juvenile,1,01/15/18,Corner of beach and Bow Street,Jamestown,"Broken back, HBC",
01/15/18,Herring Gull,Bird,Adult,1,01/15/18,67 Hillside Avenue,Newport,"Broken, bloody wing",
01/16/18,Eastern Screech Owl,Bird,Adult,1,01/16/18,1239 Hill Farm Road,Coventry,"Injury, found sitting by garbage can",
01/16/18,Canada Goose,Bird,Adult,1,01/15/18,Pomham Roack Lighthouse,Cranston,Bullet from R wing,
01/17/18,Eastern Cottontail,Mammal,Adult,1,01/16/18,,Scituate,"Degloved/broken back leg, lady kept it for a week",
01/18/18,Flying Squirrel,Mammal,Adult,1,01/18/18,2495 Tower Hill,,In home,
01/18/18,Herring Gull,Bird,Juvenile,1,01/18/18,Poppasquash Road,Bristol,HBC,
01/19/18,Mute Swan,Bird,Sub-Adult,1,01/19/18,Conimicut Point Beach,Warwick,Suspected lead poisoning,
01/21/18,Eastern Gray Squirrel,Mammal,Adult,1,01/21/18,Maple Street Apartment,Warwick,"Blind, fell, passive head trauma",
01/23/18,Horned Grebe,Bird,Adult,1,01/23/18,387 Washington Road,Barrington,"Found in road, broken toe",
01/24/18,Eastern Gray Squirrel,Mammal,Adult,1,01/24/18,54 Partition Street,Warwick,Paralysis to rear legs,
05/03/00,Eastern Gray Squirrel,Mammal,Adult,1,01/24/18,Waterway Street,Barrington,Injury,
01/25/18,American Crow,Bird,Adult,1,01/23/18,Crandall Field,Westerly,Broken or dislocated leg?,
01/25/18,Horned Grebe,Bird,Adult,1,01/25/18,Point Judith Road,Narragansett,Wound on R wing,
01/26/18,Turkey Vulture,Bird,Adult,1,01/26/18,Crato Street,Woonsocket,Injury,
01/27/18,Flying Squirrel,Mammal,Juvenile,1,01/27/18,555 Tower Hill Road,North Kingstown,Orphaned juvenile,
01/27/18,Snowy White Owl,Bird,Adult,1,01/27/18,"North Road, next to Watson Farm",Jamestown,"Most likely HBC, was standing by side of road",
01/27/18,Eastern Gray Squirrel,Mammal,Adult,1,01/27/18,Finder's address,North Providence,Injury,
01/28/18,Dovekie,Bird,Adult,1,01/28/18,Narragansett Town Beach,Narragansett,Very cold & wet,
01/29/18,Sharp Shinned Hawk,Bird,Adult,1,01/29/18,,Cranston,Compound FX wrist,
01/28/18,Flying Squirrel,Mammal,Adult,1,01/28/18,Greenfield Avenue,Warwick,"Unknown trauma, lying under birdfeeder eating, did not move away",
01/31/18,Scoter,Bird,Adult,1,01/30/18,Newport Yachting Center,Newport,Laceration,
01/30/18,Eastern Gray Squirrel,Mammal,Adult,1,01/30/18,Hoffman Avenue,Cranston,HBC & infection,
02/01/18,Ring-billed Gull,Bird,Adult,1,02/01/18,Post Road @ Bocklin,Warwick,Possible cat attack,
02/01/18,Red-necked Grebe,Bird,Adult,1,02/01/18,York Avenue,Pawtucket,Deep abrasions on feet,
02/01/18,Mute Swan,Bird,Adult,1,02/01/18,Orchard Avenue,Barrington,"Skinny, multiple wounds",
02/02/18,Song Sparrow,Bird,Adult,1,02/02/18,Finder's address,Kingston,Leg injury,
02/02/18,Flying Squirrel,Mammal,Adult,1,02/01/18,,Warwick,Neuro & cold,
02/02/18,Barred Owl,Bird,Adult,1,02/02/18,8 Yellowstone Drive,North Kingstown,Injury,
02/03/18,Red-necked Grebe,Bird,Adult,1,02/02/18,,Richmond,Injury,
01/16/18,Canada Goose,Bird,Adult,1,01/16/18,"Parking lot, Warwick PD, 99 Veteran's Memorial Drive",Warwick,Wound on R wing,
02/14/18,Screech Owl,Bird,Adult,1,02/14/18,"Ives Road, across from Goddard Park Main entrance",East Greenwich,"Flew into side of finder's car, appeared to be stunned, no visible injuries",
02/15/18,Domestic Call Duck,Bird,Adult,2,02/15/18,Pine Hill Road,Charlestown,"Brown-uninjured, White-has broken jaw",
02/26/18,Virginia Opossum,Mammal,Adult,1,02/26/18,Fairview Avenue,Coventry,"HBC, seizing, broken tooth & thin",
02/27/18,Red-tailed Hawk,Bird,Adult,1,02/27/18,1041 Oaklawn Avenue,Cranston,Rat poisoning,
02/27/18,Red-tailed Hawk,Bird,Adult,1,02/27/18,Finder's address,North Kingstown,Injured,
03/15/18,Red-throated Loon,Bird,Adult,1,03/15/18,Boston Neck Road,Narragansett,Back L leg bleeding,
03/16/18,Dark-eyed Junco,Bird,Adult,1,03/16/18,Finder's address,North Kingstown,,
03/24/18,Barred Owl,Bird,Adult,1,03/24/18,I-95 North mile marker 1.6 (RI),,"Did not open L eye, quicker to grab with R leg then L",
03/27/18,Eastern Cottontail,Mammal,Juvenile,1,03/27/18,Finder's address,Warwick,"Possible animal caught, orphaned juvenile",
03/28/18,Eastern Cottontail,Mammal,Juvenile,3,03/28/18,Finder's address,Warwick,Unknown,
03/05/18,Big Brown Bat,Mammal,Adult,1,03/05/18,Behind the Johnny Cake Center,Westerly,Broken leg,Sent form to DOH 3/5
03/23/18,Eastern Gray Squirrel,Mammal,1 week,5,03/23/18,,North Providence,Orphaned juvenile,
02/17/18,Big Brown Bat,Mammal,Adult,1,02/17/18,Finder's address,West Greenwich,No injury found,
03/24/18,Big Brown Bat,Mammal,Adult,1,03/24/18,Finder's address,Providence,Wing injury,
01/05/18,American Goldfinch,Bird,Adult,1,01/04/18,In yard,Middletown,"Found in snow under bird feeder, wound on neck",
01/08/18,Hooded Merganser,Bird,Adult,1,01/08/18,Champlain Road,Westerly,R wing broken,
01/09/18,Mourning Dove,Bird,Adult,1,01/08/18,Finder's address,Westerly,Hawk attack,
01/17/18,Pigeon,Bird,Adult,1,01/12/18,,East Providence,"Head & neck wound, wound not healing",
01/25/18,Mallard,Bird,Adult,1,01/25/18,"South County Health Parking lot, Woodruff Avenue",Narragansett,"Unknown, thin, possible crash landing.  Very tame, maybe a pet, didn't fly",
01/31/18,Cayuga Duck Hybrid,Bird,Adult,1,01/31/18,Finder's address,Narragansett,HBC,
02/05/18,Eastern Cottontail,Mammal,Adult,1,02/05/18,Finder's address,Cranston,Animal attack,
02/06/18,Canada Goose,Bird,Adult,1,02/05/18,Backyard,North Providence,Coughing ? Not flying,
02/08/18,Herring Gull,Bird,Adult,1,02/08/18,Newport Naval Station,Newport,"Believe broken wing, unknown trauma",
02/09/18,Tufted Titmouse,Bird,Adult,1,02/08/18,Backyard,Westerly,Injured wing,
02/09/18,Golden-crowned Kinglet,Bird,Adult,1,02/08/18,Seagoose sidewalk,Westerly,"Frozen on sidewalk, not moving, shaking",
02/10/18,Herring Gull,Bird,Adult,1,02/10/18,465 Spring Street,Newport,"Can't move back legs, can't fly",
02/10/18,Mourning Dove,Bird,Adult,1,02/10/18,Finder's address,"Scotland, CT","Wing-mouth injury, flew into window",
02/10/18,Herring Gull,Bird,Juvenile,1,02/10/18,Warwick Highway 2,Warwick,"Perhaps HBC, dislocated shoulder",
02/12/18,Virginia Opossum,Mammal,Adult,1,02/11/18,246 Old Louissette Pike,Lincoln,HBC,
02/12/18,Barred Owl,Bird,Adult,1,02/12/18,11 Langworthy Drive,Westerly,Possible HBC,
02/12/18,Big Brown Bat,Mammal,Adult,1,02/11/18,Basement entering kitchen,Warwick,Caught inside finder's house,
