Intake Date,Species,Species Class,Age,# of Animals,Date Found,Specific Location,City Found,Cause for Admission,Comments
12/31/15,Herring Gull,Bird,Juvenile,1,,Pawtuxet Village,Cranston,Shoulder injury,
01/06/16,Pekin Duck,Bird,,1,,Trogue Lake,Coventry,Unknown injury,
12/16/15,Squirrel,Mammal,Adult,1,12/16/15,Yard,North Kingstown,HBC,
12/23/15,Domestic Pigeon,Bird,Adult,1,12/23/15,,Westerly,,
12/30/15,House Finch,Bird,Adult,1,12/30/15,21 Mourning Dove Drive,Saunderstown,Window strike,
12/30/15,Domestic Pigeon,Bird,Adult,2,12/30/15,Conimicut,Warwick,Dumped,
01/18/16,Silver-haired Bat,Mammal,Adult,1,01/18/16,"Deck, on the snow",Charlestown,Woke up from hybernation,
01/19/16,Eastern Screech Owl,Bird,Adult,1,01/19/16,In yard,Narragansett,Window strike,
01/03/16,Bufflehead,Bird,Adult,1,01/02/16,Brickyard Pond,Barrington,"Unable to fly, neuro",
01/03/16,Pigeon,Bird,Adult,1,01/02/16,,Providence,Can't fly,
01/04/16,Northern Cardinal,Bird,Adult,1,01/04/16,In yard,Narragansett,Trauma,
01/04/16,American Robin,Bird,Adult,1,01/04/16,"Blackstown Boulevard, near Swan Point Cemetery",Providence,Unknown trauma,
01/05/16,Spring Peeper,Reptile,Adult,1,01/05/16,88 Glen Avenue,Cranston,Found in house,
01/05/16,Cooper's Hawk,Bird,Juvenile,1,01/05/16,21 Greene Lane,Newport,"Trapped in fence/ freezing, failing",
01/05/16,Pigeon,Bird,Adult,1,01/05/16,Cranston Bike Path,Cranston,FX R wing,
01/02/16,Great Black-backed Gull,Bird,Adult,1,01/06/16,"Job Lot Plaza, Metacom Avenue",Warren,"HBC, compound FX L wing",
01/06/16,European Starling,Bird,Adult,1,01/06/16,North Kingstown Home Depot,North Kingstown,"Stuck in roof, compound FX R leg",
01/07/16,Barred Owl,Bird,Adult,1,01/06/16,Tourtellot Hill,Chepachet,HBC,
01/07/16,Canada Goose,Bird,Adult,1,01/07/16,261 Ten Rod Road,Exeter,Dislocated shoulder,
01/07/16,Cooper's Hawk,Bird,Juvenile,1,01/07/16,11 Kay Street,Newport,"Flew into window, heavy bleeding from mouth, failing",
01/08/16,Screech Owl,Bird,Adult,1,01/08/16,Budlong School,Cranston,? Injury,
01/08/16,Cooper's Hawk,Bird,Juvenile,1,01/08/16,430 Mitchell Lane,Middletown,Unknown injury,
01/12/16,Brown Thrasher,Bird,Adult,1,01/12/16,138 eAst near tollbooths,Newport,? Injury,
01/12/16,Cooper's Hawk,Bird,Adult,1,01/12/16,Stuck in chicken coop on property,East Greenwich,No injuries,
01/12/16,American Bittern,Bird,Adult,1,01/12/16,,Block Island,"FX wing, old FX right at joint",
